Date,NAV per unit,fund_net_NAV,investor,principal,unit_total,unit_chg,carry_fee,management_fee,realized_pnl,realized_mgm,realized_carry,gross_nav,gross_pnl,carry_amount,mgm_amount,net_nav,net_pnl,coin,total_return
2025/4/18,1.043221544,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.7792999896968,0.7792999896967956,0.1558399979393591,0.0,75.62345999175744,0.6234599917574364,BTC,0.0343061332234324
2025/4/25,1.044295337,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.85729999107892,0.8572999910789179,0.1714399982157836,0.0,75.68585999286313,0.6858599928631341,BTC,0.0351381332381751
2025/5/9,1.046880494,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,76.04508502001181,1.0450850200118111,0.2089970040023622,0.0,75.83608801600946,0.8360880160094488,BTC,0.0371411735467926
2025/5/16,1.04741739,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,76.084084984383,1.0840849843829972,0.2167969968765995,0.0,75.8672879875064,0.8672879875063977,BTC,0.0375571731667519
2025/5/23,1.048133252,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,76.13608498530441,1.1360849853044073,0.2271969970608815,0.0,75.90888798824352,0.9088879882435256,BTC,0.038111839843247
2025/5/30,1.048849114,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,76.1880849862258,1.1880849862258032,0.2375969972451606,0.0,75.95048798898064,0.9504879889806426,BTC,0.0386665065197419
2025/6/6,1.0493878,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,76.22721497566002,1.2272149756600186,0.2454229951320037,0.0,75.98179198052802,0.9817919805280148,BTC,0.0390838930737068
2025/6/13,1.049835214,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,76.25971499439581,1.2597149943958073,0.2519229988791615,0.0,76.00779199551664,1.0077919955166457,BTC,0.0394305599402219
2025/06/21,1.0499246968,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,76.26621499814297,1.266214998142971,0.2532229996285942,0.0,76.01299199851438,1.0129919985143765,BTC,0.039499893313525
2025/06/27,1.0501036623,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,76.2792149983733,1.2792149983733054,0.2558229996746611,0.0,76.02339199869864,1.0233919986986444,BTC,0.0396385599826485
